location,camera,direction,time,car_5min,motorbike_5min,bus_5min,truck_5min,total_vehicles_5min,hour,minute,time_slot,is_morning_peak,is_evening_peak
AlankarChowk,a2,DOWN,2026-09-10 08:30:00,58,80,9,13,160,8,30,08:30-35,1,0
AlankarChowk,a2,DOWN,2026-09-10 08:35:00,46,81,8,17,152,8,35,08:35-40,1,0
AlankarChowk,a2,DOWN,2026-09-10 08:40:00,41,64,11,19,135,8,40,08:40-45,1,0
AlankarChowk,a2,DOWN,2026-09-10 08:45:00,48,66,10,15,139,8,45,08:45-50,1,0
AlankarChowk,a2,DOWN,2026-09-10 08:50:00,50,68,7,11,136,8,50,08:50-55,1,0
AlankarChowk,a2,DOWN,2026-09-10 08:55:00,49,79,10,16,154,8,55,08:55-00,1,0
AlankarChowk,a2,DOWN,2026-09-10 09:00:00,51,69,7,16,143,9,0,09:00-05,1,0
AlankarChowk,a2,DOWN,2026-09-10 09:05:00,53,69,12,6,140,9,5,09:05-10,1,0
AlankarChowk,a2,DOWN,2026-09-10 09:10:00,57,74,13,10,154,9,10,09:10-15,1,0
AlankarChowk,a2,DOWN,2026-09-10 09:15:00,49,80,8,14,151,9,15,09:15-20,1,0
AlankarChowk,a2,DOWN,2026-09-10 09:20:00,59,79,11,7,156,9,20,09:20-25,1,0
AlankarChowk,a2,DOWN,2026-09-10 09:25:00,48,61,8,17,134,9,25,09:25-30,1,0
AlankarChowk,a2,DOWN,2026-09-10 09:30:00,41,63,7,24,135,9,30,09:30-35,1,0
AlankarChowk,a2,DOWN,2026-09-10 09:35:00,40,64,9,14,127,9,35,09:35-40,1,0
AlankarChowk,a2,DOWN,2026-09-10 09:40:00,46,74,10,16,146,9,40,09:40-45,1,0
AlankarChowk,a2,DOWN,2026-09-10 09:45:00,51,75,7,8,141,9,45,09:45-50,1,0
AlankarChowk,a2,DOWN,2026-09-10 09:50:00,50,64,10,16,140,9,50,09:50-55,1,0
AlankarChowk,a2,DOWN,2026-09-10 09:55:00,54,72,10,15,151,9,55,09:55-00,1,0
AlankarChowk,a2,DOWN,2026-09-10 10:00:00,54,68,12,12,146,10,0,10:00-05,1,0
AlankarChowk,a2,DOWN,2026-09-10 10:05:00,54,74,10,10,148,10,5,10:05-10,1,0
AlankarChowk,a2,LEFT,2026-09-10 07:00:00,24,32,5,6,67,7,0,07:00-05,0,0
AlankarChowk,a2,LEFT,2026-09-10 07:05:00,25,35,3,5,68,7,5,07:05-10,0,0
AlankarChowk,a2,LEFT,2026-09-10 07:10:00,24,34,4,4,66,7,10,07:10-15,0,0
AlankarChowk,a2,LEFT,2026-09-10 07:15:00,21,34,5,8,68,7,15,07:15-20,0,0
AlankarChowk,a2,LEFT,2026-09-10 07:20:00,27,38,3,6,74,7,20,07:20-25,0,0
AlankarChowk,a2,LEFT,2026-09-10 07:25:00,18,29,4,5,56,7,25,07:25-30,0,0
AlankarChowk,a2,LEFT,2026-09-10 07:30:00,22,36,5,6,69,7,30,07:30-35,0,0
AlankarChowk,a2,LEFT,2026-09-10 07:35:00,21,26,4,6,57,7,35,07:35-40,0,0
AlankarChowk,a2,LEFT,2026-09-10 07:40:00,21,33,5,8,67,7,40,07:40-45,0,0
AlankarChowk,a2,LEFT,2026-09-10 07:45:00,22,35,4,13,74,7,45,07:45-50,0,0
AlankarChowk,a2,LEFT,2026-09-10 07:50:00,19,33,4,6,62,7,50,07:50-55,0,0
AlankarChowk,a2,LEFT,2026-09-10 07:55:00,28,36,5,5,74,7,55,07:55-00,0,0
AlankarChowk,a2,LEFT,2026-09-10 08:00:00,34,59,9,8,110,8,0,08:00-05,1,0
AlankarChowk,a2,LEFT,2026-09-10 08:05:00,32,50,7,16,105,8,5,08:05-10,1,0
AlankarChowk,a2,LEFT,2026-09-10 08:10:00,35,53,6,11,105,8,10,08:10-15,1,0
AlankarChowk,a2,LEFT,2026-09-10 08:15:00,32,50,7,11,100,8,15,08:15-20,1,0
AlankarChowk,a2,LEFT,2026-09-10 08:20:00,43,61,9,10,123,8,20,08:20-25,1,0
AlankarChowk,a2,LEFT,2026-09-10 08:25:00,34,54,5,13,106,8,25,08:25-30,1,0
AlankarChowk,a2,LEFT,2026-09-10 08:30:00,37,49,8,9,103,8,30,08:30-35,1,0
AlankarChowk,a2,LEFT,2026-09-10 08:35:00,32,48,6,15,101,8,35,08:35-40,1,0
AlankarChowk,a2,LEFT,2026-09-10 08:40:00,33,47,8,13,101,8,40,08:40-45,1,0
AlankarChowk,a2,LEFT,2026-09-10 08:45:00,40,56,8,6,110,8,45,08:45-50,1,0
AlankarChowk,a2,LEFT,2026-09-10 08:50:00,33,47,6,17,103,8,50,08:50-55,1,0
AlankarChowk,a2,LEFT,2026-09-10 08:55:00,40,58,7,10,115,8,55,08:55-00,1,0
AlankarChowk,a2,LEFT,2026-09-10 09:00:00,37,50,8,6,101,9,0,09:00-05,1,0
AlankarChowk,a2,LEFT,2026-09-10 09:05:00,33,51,7,17,108,9,5,09:05-10,1,0
AlankarChowk,a2,LEFT,2026-09-10 09:10:00,36,53,7,6,102,9,10,09:10-15,1,0
AlankarChowk,a2,LEFT,2026-09-10 09:15:00,31,48,5,17,101,9,15,09:15-20,1,0
AlankarChowk,a2,LEFT,2026-09-10 09:20:00,32,56,7,12,107,9,20,09:20-25,1,0
AlankarChowk,a2,LEFT,2026-09-10 09:25:00,36,58,8,13,115,9,25,09:25-30,1,0
AlankarChowk,a2,LEFT,2026-09-10 09:30:00,30,51,8,12,101,9,30,09:30-35,1,0
AlankarChowk,a2,LEFT,2026-09-10 09:35:00,32,55,7,12,106,9,35,09:35-40,1,0
AlankarChowk,a2,LEFT,2026-09-10 09:40:00,34,57,6,18,115,9,40,09:40-45,1,0
AlankarChowk,a2,LEFT,2026-09-10 09:45:00,41,64,10,8,123,9,45,09:45-50,1,0
AlankarChowk,a2,LEFT,2026-09-10 09:50:00,35,48,8,4,95,9,50,09:50-55,1,0
AlankarChowk,a2,LEFT,2026-09-10 09:55:00,31,44,6,6,87,9,55,09:55-00,1,0
AlankarChowk,a2,LEFT,2026-09-10 10:00:00,39,59,7,6,111,10,0,10:00-05,1,0
AlankarChowk,a2,LEFT,2026-09-10 10:05:00,31,47,7,13,98,10,5,10:05-10,1,0
AlankarChowk,a2,RIGHT,2026-09-10 07:00:00,21,33,3,9,66,7,0,07:00-05,0,0
AlankarChowk,a2,RIGHT,2026-09-10 07:05:00,19,28,3,10,60,7,5,07:05-10,0,0
AlankarChowk,a2,RIGHT,2026-09-10 07:10:00,22,30,4,7,63,7,10,07:10-15,0,0
AlankarChowk,a2,RIGHT,2026-09-10 07:15:00,21,30,4,10,65,7,15,07:15-20,0,0
AlankarChowk,a2,RIGHT,2026-09-10 07:20:00,23,31,4,5,63,7,20,07:20-25,0,0
AlankarChowk,a2,RIGHT,2026-09-10 07:25:00,24,34,5,4,67,7,25,07:25-30,0,0
AlankarChowk,a2,RIGHT,2026-09-10 07:30:00,23,32,5,6,66,7,30,07:30-35,0,0
AlankarChowk,a2,RIGHT,2026-09-10 07:35:00,22,35,5,4,66,7,35,07:35-40,0,0
AlankarChowk,a2,RIGHT,2026-09-10 07:40:00,19,28,4,9,60,7,40,07:40-45,0,0
AlankarChowk,a2,RIGHT,2026-09-10 07:45:00,20,29,4,11,64,7,45,07:45-50,0,0
AlankarChowk,a2,RIGHT,2026-09-10 07:50:00,19,31,4,10,64,7,50,07:50-55,0,0
AlankarChowk,a2,RIGHT,2026-09-10 07:55:00,22,30,4,11,67,7,55,07:55-00,0,0
AlankarChowk,a2,RIGHT,2026-09-10 08:00:00,39,55,6,17,117,8,0,08:00-05,1,0
AlankarChowk,a2,RIGHT,2026-09-10 08:05:00,34,52,6,16,108,8,5,08:05-10,1,0
AlankarChowk,a2,RIGHT,2026-09-10 08:10:00,39,55,6,7,107,8,10,08:10-15,1,0
AlankarChowk,a2,RIGHT,2026-09-10 08:15:00,29,46,7,17,99,8,15,08:15-20,1,0
AlankarChowk,a2,RIGHT,2026-09-10 08:20:00,40,57,8,8,113,8,20,08:20-25,1,0
AlankarChowk,a2,RIGHT,2026-09-10 08:25:00,39,55,6,6,106,8,25,08:25-30,1,0
AlankarChowk,a2,RIGHT,2026-09-10 08:30:00,39,52,8,12,111,8,30,08:30-35,1,0
AlankarChowk,a2,RIGHT,2026-09-10 08:35:00,38,51,8,10,107,8,35,08:35-40,1,0
AlankarChowk,a2,RIGHT,2026-09-10 08:40:00,34,57,9,11,111,8,40,08:40-45,1,0
AlankarChowk,a2,RIGHT,2026-09-10 08:45:00,35,61,5,14,115,8,45,08:45-50,1,0
AlankarChowk,a2,RIGHT,2026-09-10 08:50:00,33,54,8,7,102,8,50,08:50-55,1,0
AlankarChowk,a2,RIGHT,2026-09-10 08:55:00,41,54,8,14,117,8,55,08:55-00,1,0
AlankarChowk,a2,RIGHT,2026-09-10 09:00:00,40,61,6,10,117,9,0,09:00-05,1,0
AlankarChowk,a2,RIGHT,2026-09-10 09:05:00,41,61,7,5,114,9,5,09:05-10,1,0
AlankarChowk,a2,RIGHT,2026-09-10 09:10:00,32,50,8,10,100,9,10,09:10-15,1,0
AlankarChowk,a2,RIGHT,2026-09-10 09:15:00,33,57,9,10,109,9,15,09:15-20,1,0
AlankarChowk,a2,RIGHT,2026-09-10 09:20:00,32,50,7,8,97,9,20,09:20-25,1,0
AlankarChowk,a2,RIGHT,2026-09-10 09:25:00,30,51,7,8,96,9,25,09:25-30,1,0
AlankarChowk,a2,RIGHT,2026-09-10 09:30:00,35,48,5,10,98,9,30,09:30-35,1,0
AlankarChowk,a2,RIGHT,2026-09-10 09:35:00,38,54,5,7,104,9,35,09:35-40,1,0
AlankarChowk,a2,RIGHT,2026-09-10 09:40:00,38,54,7,11,110,9,40,09:40-45,1,0
AlankarChowk,a2,RIGHT,2026-09-10 09:45:00,37,47,5,14,103,9,45,09:45-50,1,0
AlankarChowk,a2,RIGHT,2026-09-10 09:50:00,40,53,8,8,109,9,50,09:50-55,1,0
AlankarChowk,a2,RIGHT,2026-09-10 09:55:00,35,57,10,17,119,9,55,09:55-00,1,0
AlankarChowk,a2,RIGHT,2026-09-10 10:00:00,42,58,9,8,117,10,0,10:00-05,1,0
AlankarChowk,a2,RIGHT,2026-09-10 10:05:00,37,57,9,9,112,10,5,10:05-10,1,0
AlankarChowk,a3,UP,2026-09-10 07:00:00,30,48,6,11,95,7,0,07:00-05,0,0
AlankarChowk,a3,UP,2026-09-10 07:05:00,32,46,6,10,94,7,5,07:05-10,0,0
AlankarChowk,a3,UP,2026-09-10 07:10:00,29,46,5,11,91,7,10,07:10-15,0,0
AlankarChowk,a3,UP,2026-09-10 07:15:00,27,40,4,15,86,7,15,07:15-20,0,0
AlankarChowk,a3,UP,2026-09-10 07:20:00,25,38,5,13,81,7,20,07:20-25,0,0
AlankarChowk,a3,UP,2026-09-10 07:25:00,33,46,6,4,89,7,25,07:25-30,0,0
AlankarChowk,a3,UP,2026-09-10 07:30:00,28,43,5,15,91,7,30,07:30-35,0,0
AlankarChowk,a3,UP,2026-09-10 07:35:00,32,43,5,14,94,7,35,07:35-40,0,0
AlankarChowk,a3,UP,2026-09-10 07:40:00,31,51,8,10,100,7,40,07:40-45,0,0
AlankarChowk,a3,UP,2026-09-10 07:45:00,33,44,6,7,90,7,45,07:45-50,0,0
AlankarChowk,a3,UP,2026-09-10 07:50:00,25,40,7,13,85,7,50,07:50-55,0,0
AlankarChowk,a3,UP,2026-09-10 07:55:00,34,46,6,7,93,7,55,07:55-00,0,0
AlankarChowk,a3,UP,2026-09-10 08:00:00,50,74,11,26,161,8,0,08:00-05,1,0
AlankarChowk,a3,UP,2026-09-10 08:05:00,58,74,8,14,154,8,5,08:05-10,1,0
AlankarChowk,a3,UP,2026-09-10 08:10:00,47,77,10,15,149,8,10,08:10-15,1,0
AlankarChowk,a3,UP,2026-09-10 08:15:00,44,65,11,13,133,8,15,08:15-20,1,0
AlankarChowk,a3,UP,2026-09-10 08:20:00,54,79,12,11,156,8,20,08:20-25,1,0
AlankarChowk,a3,UP,2026-09-10 08:25:00,46,78,8,15,147,8,25,08:25-30,1,0
AlankarChowk,a3,UP,2026-09-10 08:30:00,44,68,7,25,144,8,30,08:30-35,1,0
AlankarChowk,a3,UP,2026-09-10 08:35:00,49,70,8,15,142,8,35,08:35-40,1,0
AlankarChowk,a3,UP,2026-09-10 08:40:00,50,76,11,12,149,8,40,08:40-45,1,0
AlankarChowk,a3,UP,2026-09-10 08:45:00,59,87,12,6,164,8,45,08:45-50,1,0
AlankarChowk,a3,UP,2026-09-10 08:50:00,46,66,10,13,135,8,50,08:50-55,1,0
AlankarChowk,a3,UP,2026-09-10 08:55:00,46,67,6,8,127,8,55,08:55-00,1,0
AlankarChowk,a3,UP,2026-09-10 09:00:00,52,79,9,12,152,9,0,09:00-05,1,0
AlankarChowk,a3,UP,2026-09-10 09:05:00,55,72,12,16,155,9,5,09:05-10,1,0
AlankarChowk,a3,UP,2026-09-10 09:10:00,48,79,8,24,159,9,10,09:10-15,1,0
AlankarChowk,a3,UP,2026-09-10 09:15:00,46,70,8,19,143,9,15,09:15-20,1,0
AlankarChowk,a3,UP,2026-09-10 09:20:00,58,89,14,9,170,9,20,09:20-25,1,0
AlankarChowk,a3,UP,2026-09-10 09:25:00,57,87,9,9,162,9,25,09:25-30,1,0
AlankarChowk,a3,UP,2026-09-10 09:30:00,57,81,14,12,164,9,30,09:30-35,1,0
AlankarChowk,a3,UP,2026-09-10 09:35:00,52,72,11,17,152,9,35,09:35-40,1,0
AlankarChowk,a3,UP,2026-09-10 09:40:00,46,69,10,18,143,9,40,09:40-45,1,0
AlankarChowk,a3,UP,2026-09-10 09:45:00,48,78,11,11,148,9,45,09:45-50,1,0
AlankarChowk,a3,UP,2026-09-10 09:50:00,48,74,9,11,142,9,50,09:50-55,1,0
AlankarChowk,a3,UP,2026-09-10 09:55:00,56,83,15,18,172,9,55,09:55-00,1,0
AlankarChowk,a3,UP,2026-09-10 10:00:00,48,73,9,7,137,10,0,10:00-05,1,0
AlankarChowk,a3,UP,2026-09-10 10:05:00,48,76,9,22,155,10,5,10:05-10,1,0
AlankarChowk,a3,DOWN,2026-09-10 07:00:00,29,47,6,10,92,7,0,07:00-05,0,0
AlankarChowk,a3,DOWN,2026-09-10 07:05:00,27,44,6,6,83,7,5,07:05-10,0,0
AlankarChowk,a3,DOWN,2026-09-10 07:10:00,33,52,5,14,104,7,10,07:10-15,0,0
AlankarChowk,a3,DOWN,2026-09-10 07:15:00,35,52,5,12,104,7,15,07:15-20,0,0
AlankarChowk,a3,DOWN,2026-09-10 07:20:00,32,52,8,14,106,7,20,07:20-25,0,0
AlankarChowk,a3,DOWN,2026-09-10 07:25:00,32,45,6,8,91,7,25,07:25-30,0,0
AlankarChowk,a3,DOWN,2026-09-10 07:30:00,28,48,6,8,90,7,30,07:30-35,0,0
AlankarChowk,a3,DOWN,2026-09-10 07:35:00,38,51,7,8,104,7,35,07:35-40,0,0
AlankarChowk,a3,DOWN,2026-09-10 07:40:00,36,48,6,11,101,7,40,07:40-45,0,0
AlankarChowk,a3,DOWN,2026-09-10 07:45:00,28,44,6,5,83,7,45,07:45-50,0,0
AlankarChowk,a3,DOWN,2026-09-10 07:50:00,34,45,6,5,90,7,50,07:50-55,0,0
AlankarChowk,a3,DOWN,2026-09-10 07:55:00,33,45,6,13,97,7,55,07:55-00,0,0
AlankarChowk,a3,DOWN,2026-09-10 08:00:00,43,67,7,18,135,8,0,08:00-05,1,0
AlankarChowk,a3,DOWN,2026-09-10 08:05:00,49,73,8,13,143,8,5,08:05-10,1,0
AlankarChowk,a3,DOWN,2026-09-10 08:10:00,52,76,12,8,148,8,10,08:10-15,1,0
AlankarChowk,a3,DOWN,2026-09-10 08:15:00,51,71,12,11,145,8,15,08:15-20,1,0
AlankarChowk,a3,DOWN,2026-09-10 08:20:00,54,74,11,21,160,8,20,08:20-25,1,0
AlankarChowk,a3,DOWN,2026-09-10 08:25:00,54,77,9,6,146,8,25,08:25-30,1,0
AlankarChowk,a3,DOWN,2026-09-10 08:30:00,45,70,10,11,136,8,30,08:30-35,1,0
AlankarChowk,a3,DOWN,2026-09-10 08:35:00,49,68,12,17,146,8,35,08:35-40,1,0
AlankarChowk,a3,DOWN,2026-09-10 08:40:00,51,71,11,6,139,8,40,08:40-45,1,0
AlankarChowk,a3,DOWN,2026-09-10 08:45:00,53,85,10,13,161,8,45,08:45-50,1,0
AlankarChowk,a3,DOWN,2026-09-10 08:50:00,43,76,7,18,144,8,50,08:50-55,1,0
AlankarChowk,a3,DOWN,2026-09-10 08:55:00,48,66,11,5,130,8,55,08:55-00,1,0
AlankarChowk,a3,DOWN,2026-09-10 09:00:00,51,68,12,16,147,9,0,09:00-05,1,0
AlankarChowk,a3,DOWN,2026-09-10 09:05:00,48,67,11,11,137,9,5,09:05-10,1,0
AlankarChowk,a3,DOWN,2026-09-10 09:10:00,54,79,9,23,165,9,10,09:10-15,1,0
AlankarChowk,a3,DOWN,2026-09-10 09:15:00,52,76,12,13,153,9,15,09:15-20,1,0
AlankarChowk,a3,DOWN,2026-09-10 09:20:00,52,79,8,11,150,9,20,09:20-25,1,0
AlankarChowk,a3,DOWN,2026-09-10 09:25:00,47,80,10,14,151,9,25,09:25-30,1,0
AlankarChowk,a3,DOWN,2026-09-10 09:30:00,53,67,12,15,147,9,30,09:30-35,1,0
AlankarChowk,a3,DOWN,2026-09-10 09:35:00,48,80,10,18,156,9,35,09:35-40,1,0
AlankarChowk,a3,DOWN,2026-09-10 09:40:00,46,71,8,15,140,9,40,09:40-45,1,0
AlankarChowk,a3,DOWN,2026-09-10 09:45:00,50,83,10,16,159,9,45,09:45-50,1,0
AlankarChowk,a3,DOWN,2026-09-10 09:50:00,48,70,12,10,140,9,50,09:50-55,1,0
AlankarChowk,a3,DOWN,2026-09-10 09:55:00,55,71,11,11,148,9,55,09:55-00,1,0
AlankarChowk,a3,DOWN,2026-09-10 10:00:00,52,75,7,12,146,10,0,10:00-05,1,0
AlankarChowk,a3,DOWN,2026-09-10 10:05:00,54,81,13,13,161,10,5,10:05-10,1,0
AlankarChowk,a3,LEFT,2026-09-10 07:00:00,21,32,4,7,64,7,0,07:00-05,0,0
AlankarChowk,a3,LEFT,2026-09-10 07:05:00,26,37,5,6,74,7,5,07:05-10,0,0
AlankarChowk,a3,LEFT,2026-09-10 07:10:00,22,31,4,4,61,7,10,07:10-15,0,0
AlankarChowk,a3,LEFT,2026-09-10 07:15:00,19,28,4,7,58,7,15,07:15-20,0,0
AlankarChowk,a3,LEFT,2026-09-10 07:20:00,23,31,3,9,66,7,20,07:20-25,0,0
AlankarChowk,a3,LEFT,2026-09-10 07:25:00,21,30,5,8,64,7,25,07:25-30,0,0
AlankarChowk,a3,LEFT,2026-09-10 07:30:00,17,29,4,6,56,7,30,07:30-35,0,0
AlankarChowk,a3,LEFT,2026-09-10 07:35:00,23,31,5,5,64,7,35,07:35-40,0,0
AlankarChowk,a3,LEFT,2026-09-10 07:40:00,20,34,5,6,65,7,40,07:40-45,0,0
AlankarChowk,a3,LEFT,2026-09-10 07:45:00,24,35,6,3,68,7,45,07:45-50,0,0
AlankarChowk,a3,LEFT,2026-09-10 07:50:00,26,36,3,9,74,7,50,07:50-55,0,0
AlankarChowk,a3,LEFT,2026-09-10 07:55:00,21,32,4,7,64,7,55,07:55-00,0,0
AlankarChowk,a3,LEFT,2026-09-10 08:00:00,38,53,5,6,102,8,0,08:00-05,1,0
AlankarChowk,a3,LEFT,2026-09-10 08:05:00,29,46,8,15,98,8,5,08:05-10,1,0
AlankarChowk,a3,LEFT,2026-09-10 08:10:00,27,43,7,14,91,8,10,08:10-15,1,0
AlankarChowk,a3,LEFT,2026-09-10 08:15:00,32,53,6,9,100,8,15,08:15-20,1,0
AlankarChowk,a3,LEFT,2026-09-10 08:20:00,40,57,6,15,118,8,20,08:20-25,1,0
AlankarChowk,a3,LEFT,2026-09-10 08:25:00,37,63,8,12,120,8,25,08:25-30,1,0
AlankarChowk,a3,LEFT,2026-09-10 08:30:00,33,53,7,7,100,8,30,08:30-35,1,0
AlankarChowk,a3,LEFT,2026-09-10 08:35:00,31,44,5,15,95,8,35,08:35-40,1,0
AlankarChowk,a3,LEFT,2026-09-10 08:40:00,29,53,6,11,99,8,40,08:40-45,1,0
AlankarChowk,a3,LEFT,2026-09-10 08:45:00,40,53,9,5,107,8,45,08:45-50,1,0
AlankarChowk,a3,LEFT,2026-09-10 08:50:00,43,58,7,8,116,8,50,08:50-55,1,0
AlankarChowk,a3,LEFT,2026-09-10 08:55:00,35,55,6,17,113,8,55,08:55-00,1,0
AlankarChowk,a3,LEFT,2026-09-10 09:00:00,38,56,8,9,111,9,0,09:00-05,1,0
AlankarChowk,a3,LEFT,2026-09-10 09:05:00,36,46,5,13,100,9,5,09:05-10,1,0
AlankarChowk,a3,LEFT,2026-09-10 09:10:00,40,52,6,15,113,9,10,09:10-15,1,0
AlankarChowk,a3,LEFT,2026-09-10 09:15:00,41,53,7,12,113,9,15,09:15-20,1,0
AlankarChowk,a3,LEFT,2026-09-10 09:20:00,42,53,6,15,116,9,20,09:20-25,1,0
AlankarChowk,a3,LEFT,2026-09-10 09:25:00,38,55,6,20,119,9,25,09:25-30,1,0
AlankarChowk,a3,LEFT,2026-09-10 09:30:00,38,48,6,13,105,9,30,09:30-35,1,0
AlankarChowk,a3,LEFT,2026-09-10 09:35:00,32,51,5,17,105,9,35,09:35-40,1,0
AlankarChowk,a3,LEFT,2026-09-10 09:40:00,35,55,8,8,106,9,40,09:40-45,1,0
AlankarChowk,a3,LEFT,2026-09-10 09:45:00,29,48,6,14,97,9,45,09:45-50,1,0
AlankarChowk,a3,LEFT,2026-09-10 09:50:00,39,56,7,6,108,9,50,09:50-55,1,0
